eventid layer signal axis fiberid x/y z energy intensity time
148 3 Calorimeter l 0 0 0 396.91 396.91 2.87808
161 -1 GUNout g 0 0 0 470.459 0 0.337096687
161 3 WLS_Fast y 143 63.431 81.6461 240 48 1.54305
161 3 WLS_Slow x 214 206.141 85.1561 3.17581 1 1.54283
161 3 WLS_Slow x 216 210.161 85.1561 3.17581 1 1.54277
161 3 WLS_Slow x 218 214.181 85.1561 3.17581 1 1.54277
161 3 WLS_Slow y 143 63.431 85.1561 9.52744 3 1.54277
161 3 Edge_Detector l 0 0 0 16.5071 16.5071 1.54277
162 -1 GUNout g 0 0 0 533.921 0 0.631720426
162 2 WLS_Slow x 15 -193.849 5.15608 44.4614 14 2.0245
162 2 WLS_Slow y 25 -173.749 5.15608 3.17581 1 2.0245
162 2 WLS_Slow y 26 -171.739 5.15608 9.52744 3 2.0245
162 2 WLS_Slow y 27 -169.729 5.15608 9.52744 3 2.0245
162 2 WLS_Slow y 29 -165.709 5.15608 6.35163 2 2.0245
162 2 Edge_Detector l 0 0 0 64.4984 64.4984 2.0245
163 -1 GUNout g 0 0 0 1223.68 0 0.522360466
163 2 WLS_Slow x 171 119.711 5.15608 31.7581 10 2.07651
163 2 WLS_Slow x 172 121.721 5.15608 31.7581 10 2.07651
163 2 WLS_Slow x 173 123.731 5.15608 15.8791 5 2.07651
163 2 WLS_Slow x 174 125.741 5.15608 22.2307 7 2.07651
163 2 WLS_Slow x 175 127.751 5.15608 38.1098 12 2.07651
163 2 WLS_Slow x 176 129.761 5.15608 3.17581 1 2.07651
163 2 WLS_Slow y 59 -105.409 5.15608 120.681 38 2.07651
163 2 Edge_Detector l 0 0 0 284.59 284.59 2.07651
168 -1 GUNout g 0 0 0 467.77 0 0.360074299
168 0 Calorimeter l 0 0 0 189.751 189.751 2.69796
169 -1 GUNout g 0 0 0 705.021 0 0.535922759
169 1 Calorimeter l 0 0 0 149.844 149.844 2.93059
169 2 Calorimeter l 0 0 0 555.177 555.177 2.76204
181 -1 GUNout g 0 0 0 1099.96 0 0.747598872
181 3 WLS_Slow x 60 -103.399 85.1561 38.1098 12 2.07167
181 3 WLS_Slow x 61 -101.389 85.1561 266.768 84 2.07167
181 3 WLS_Slow y 90 -43.099 85.1561 12.7033 4 2.07167
181 3 WLS_Slow y 91 -41.089 85.1561 63.5163 20 2.07167
181 3 WLS_Slow y 92 -39.079 85.1561 41.2856 13 2.07167
181 3 WLS_Slow y 93 -37.069 85.1561 34.9339 11 2.07167
181 3 WLS_Slow y 94 -35.059 85.1561 73.0437 23 2.07167
181 3 WLS_Slow y 95 -33.049 85.1561 63.5163 20 2.07167
181 3 WLS_Slow y 96 -31.039 85.1561 6.35163 2 2.07167
181 3 Edge_Detector l 0 0 0 610.697 610.697 2.07167
184 -1 GUNout g 0 0 0 580.85 0 0.867915955
184 3 WLS_Slow x 76 -71.239 85.1561 95.2744 30 2.15349
184 3 WLS_Slow y 42 -139.579 85.1561 3.17581 1 2.15349
184 3 WLS_Slow y 43 -137.569 85.1561 6.35163 2 2.15349
184 3 WLS_Slow y 44 -135.559 85.1561 15.8791 5 2.15349
184 3 WLS_Slow y 45 -133.549 85.1561 6.35163 2 2.15349
184 3 WLS_Slow y 46 -131.539 85.1561 25.4065 8 2.15349
184 3 WLS_Slow y 47 -129.529 85.1561 22.2307 7 2.15349
184 3 WLS_Slow y 48 -127.519 85.1561 3.17581 1 2.15349
184 3 Edge_Detector l 0 0 0 199.214 199.214 2.15349
194 -1 GUNout g 0 0 0 338.801 0 0.678219944
194 3 WLS_Slow x 43 -137.569 85.1561 31.7581 10 1.95165
194 3 WLS_Slow x 44 -135.559 85.1561 44.4614 14 1.95165
194 3 WLS_Slow x 45 -133.549 85.1561 38.1098 12 1.95165
194 3 WLS_Slow x 46 -131.539 85.1561 12.7033 4 1.95165
194 3 WLS_Slow y 160 97.601 85.1561 53.9888 17 1.95165
194 3 WLS_Slow y 161 99.611 85.1561 63.5163 20 1.95165
194 3 WLS_Slow y 162 101.621 85.1561 50.813 16 1.95165
194 3 Edge_Detector l 0 0 0 338.801 338.801 1.95165
199 -1 GUNout g 0 0 0 448.58 0 0.473354957
199 1 WLS_Slow x 2 -219.979 -74.8439 3.17581 1 2.21745
199 1 WLS_Slow x 3 -217.969 -74.8439 6.35163 2 2.21745
199 1 WLS_Slow x 4 -215.959 -74.8439 6.35163 2 2.21745
199 1 WLS_Slow x 5 -213.949 -74.8439 12.7033 4 2.21745
199 1 WLS_Slow x 6 -211.939 -74.8439 3.17581 1 2.21745
199 1 WLS_Slow x 7 -209.929 -74.8439 19.0549 6 2.18206
199 1 WLS_Slow x 8 -207.919 -74.8439 38.1098 12 2.18206
199 1 WLS_Slow x 9 -205.909 -74.8439 34.9339 11 2.18206
199 1 WLS_Slow x 10 -203.899 -74.8439 3.17581 1 2.18206
199 1 WLS_Slow y 56 -111.439 -74.8439 3.17581 1 2.18206
199 1 WLS_Slow y 57 -109.429 -74.8439 34.9339 11 2.18206
199 1 WLS_Slow y 58 -107.419 -74.8439 28.5823 9 2.18206
199 1 WLS_Slow y 59 -105.409 -74.8439 25.4065 8 2.18206
199 1 WLS_Slow y 60 -103.399 -74.8439 6.35163 2 2.18206
199 1 WLS_Slow y 62 -99.379 -74.8439 31.7581 10 2.21745
199 1 Edge_Detector l 0 0 0 203.544 203.544 2.18206
199 2 Calorimeter l 0 0 0 82.772 82.772 3.20145
199 3 Calorimeter l 0 0 0 162.264 162.264 3.07421
201 -1 GUNout g 0 0 0 737.732 0 0.654960311
201 0 WLS_Slow x 2 -219.979 -154.844 12.7033 4 2.62789
201 0 WLS_Slow x 3 -217.969 -154.844 34.9339 11 2.62789
201 0 WLS_Slow x 4 -215.959 -154.844 28.5823 9 2.62789
201 0 WLS_Slow x 5 -213.949 -154.844 82.5711 26 2.62789
201 0 WLS_Slow x 6 -211.939 -154.844 38.1098 12 2.62789
201 0 WLS_Slow x 7 -209.929 -154.844 41.2856 13 2.62789
201 0 WLS_Slow x 8 -207.919 -154.844 6.35163 2 2.62789
201 0 WLS_Slow y 58 -107.419 -154.844 136.56 43 2.62789
201 0 WLS_Slow y 59 -105.409 -154.844 44.4614 14 2.62789
201 0 WLS_Slow y 60 -103.399 -154.844 28.5823 9 2.62789
201 0 Edge_Detector l 0 0 0 495.888 495.888 2.62789
206 -1 GUNout g 0 0 0 439.935 0 0.707542734
206 1 Calorimeter l 0 0 0 255.737 255.737 2.97069
206 2 Calorimeter l 0 0 0 184.197 184.197 2.91797
214 -1 GUNout g 0 0 0 329.802 0 0.695801598
214 2 WLS_Slow x 40 -143.599 5.15608 6.35163 2 2.27155
214 2 WLS_Slow x 41 -141.589 5.15608 22.2307 7 2.27155
214 2 WLS_Slow x 42 -139.579 5.15608 34.9339 11 2.27155
214 2 WLS_Slow x 43 -137.569 5.15608 38.1098 12 2.27155
214 2 WLS_Slow x 44 -135.559 5.15608 22.2307 7 2.27155
214 2 WLS_Slow y 85 -53.149 5.15608 73.0437 23 2.27155
214 2 WLS_Slow y 86 -51.139 5.15608 38.1098 12 2.27155
214 2 Edge_Detector l 0 0 0 187.822 187.822 2.27155
214 3 WLS_Slow x 11 -201.889 85.1561 6.35163 2 1.92397
214 3 WLS_Slow x 12 -199.879 85.1561 38.1098 12 1.92395
214 3 WLS_Slow x 13 -197.869 85.1561 22.2307 7 1.92395
214 3 WLS_Slow x 14 -195.859 85.1561 3.17581 1 1.92397
214 3 WLS_Slow y 95 -33.049 85.1561 19.0549 6 1.92395
214 3 WLS_Slow y 96 -31.039 85.1561 25.4065 8 1.92395
214 3 WLS_Slow y 97 -29.029 85.1561 15.8791 5 1.92395
214 3 WLS_Slow y 98 -27.019 85.1561 9.52744 3 1.92395
214 3 Edge_Detector l 0 0 0 141.98 141.98 1.92395
225 -1 GUNout g 0 0 0 352.868 0 0.603744465
225 0 WLS_Slow x 47 -129.529 -154.844 3.17581 1 2.69817
225 0 WLS_Slow x 48 -127.519 -154.844 12.7033 4 2.69817
225 0 WLS_Slow y 75 -73.249 -154.844 6.35163 2 2.69817
225 0 WLS_Slow y 76 -71.239 -154.844 6.35163 2 2.69817
225 0 WLS_Slow y 77 -69.229 -154.844 3.17581 1 2.69817
225 0 WLS_Slow y 78 -67.219 -154.844 6.35163 2 2.69817
225 0 WLS_Slow y 79 -65.209 -154.844 3.17581 1 2.69817
225 0 Edge_Detector l 0 0 0 40.4605 40.4605 2.69817
226 -1 GUNout g 0 0 0 3701.78 0 0.450022211
